"","Location","TimeFrame","DataFormat","Child","Unemployment"
"127","Armstrong",2009,"Number",70,53
"128","Armstrong",2009,"Percent",0.142,0.048
"129","Armstrong",2010,"Number",49,50
"130","Armstrong",2010,"Percent",0.116,0.047
"131","Armstrong",2011,"Number",67,49
"132","Armstrong",2011,"Percent",0.159,0.049
"133","Atascosa",2001,"Number",3352,774
"134","Atascosa",2001,"Percent",0.265,0.042
"135","Atascosa",2002,"Number",3323,1045
"136","Atascosa",2002,"Percent",0.261,0.057
"137","Atascosa",2003,"Number",3503,1231
"138","Atascosa",2003,"Percent",0.279,0.066
"139","Atascosa",2004,"Number",3385,1073
"140","Atascosa",2004,"Percent",0.27,0.057
"141","Atascosa",2005,"Number",3553,957
"142","Atascosa",2005,"Percent",0.288,0.05
"143","Atascosa",2006,"Number",3714,917
"144","Atascosa",2006,"Percent",0.302,0.047
"145","Atascosa",2007,"Number",3144,798
"146","Atascosa",2007,"Percent",0.256,0.041
"147","Atascosa",2008,"Number",3381,903
"148","Atascosa",2008,"Percent",0.278,0.047
"149","Atascosa",2009,"Number",3691,1447
"150","Atascosa",2009,"Percent",0.288,0.074
"151","Atascosa",2010,"Number",3893,1570
"152","Atascosa",2010,"Percent",0.305,0.079
"153","Atascosa",2011,"Number",4144,1567
"154","Atascosa",2011,"Percent",0.322,0.079
"155","Austin",2001,"Number",1019,376
"156","Austin",2001,"Percent",0.158,0.028
"157","Austin",2002,"Number",863,548
"158","Austin",2002,"Percent",0.133,0.037
"159","Austin",2003,"Number",996,692
"160","Austin",2003,"Percent",0.15,0.048
"161","Austin",2004,"Number",1002,687
"162","Austin",2004,"Percent",0.154,0.054
"163","Austin",2005,"Number",1047,581
"164","Austin",2005,"Percent",0.163,0.045
"165","Austin",2006,"Number",1026,566
"166","Austin",2006,"Percent",0.16,0.042
"167","Austin",2007,"Number",982,493
"168","Austin",2007,"Percent",0.15,0.038
"169","Austin",2008,"Number",976,561
"170","Austin",2008,"Percent",0.149,0.043
"171","Austin",2009,"Number",1116,985
"172","Austin",2009,"Percent",0.162,0.074
"173","Austin",2010,"Number",1281,1073
"174","Austin",2010,"Percent",0.183,0.08
"175","Austin",2011,"Number",1415,1170
"176","Austin",2011,"Percent",0.202,0.082
"177","Bailey",2001,"Number",569,175
"178","Bailey",2001,"Percent",0.285,0.051
"179","Bailey",2002,"Number",541,185
"180","Bailey",2002,"Percent",0.263,0.054
"181","Bailey",2003,"Number",546,211
"182","Bailey",2003,"Percent",0.273,0.055
"183","Bailey",2004,"Number",519,201
"184","Bailey",2004,"Percent",0.257,0.056
"185","Bailey",2005,"Number",590,181
"186","Bailey",2005,"Percent",0.296,0.055
"187","Bailey",2006,"Number",608,165
"188","Bailey",2006,"Percent",0.304,0.052
"189","Bailey",2007,"Number",582,147
"190","Bailey",2007,"Percent",0.304,0.045
"191","Bailey",2008,"Number",516,142
"192","Bailey",2008,"Percent",0.273,0.042
"193","Bailey",2009,"Number",561,190
"194","Bailey",2009,"Percent",0.28,0.056
"195","Bailey",2010,"Number",656,236
"196","Bailey",2010,"Percent",0.302,0.071
"197","Bailey",2011,"Number",632,243
"198","Bailey",2011,"Percent",0.283,0.073
"199","Bandera",2001,"Number",867,196
"200","Bandera",2001,"Percent",0.195,0.027
"201","Bandera",2002,"Number",874,287
"202","Bandera",2002,"Percent",0.194,0.035
"203","Bandera",2003,"Number",893,306
"204","Bandera",2003,"Percent",0.2,0.039
"205","Bandera",2004,"Number",830,470
"206","Bandera",2004,"Percent",0.191,0.049
"207","Bandera",2005,"Number",862,407
"208","Bandera",2005,"Percent",0.203,0.042
"209","Bandera",2006,"Number",919,427
"210","Bandera",2006,"Percent",0.218,0.042
"211","Bandera",2007,"Number",956,377
"212","Bandera",2007,"Percent",0.225,0.038
"213","Bandera",2008,"Number",942,433
"214","Bandera",2008,"Percent",0.226,0.044
"215","Bandera",2009,"Number",919,644
"216","Bandera",2009,"Percent",0.23,0.065
"217","Bandera",2010,"Number",1051,710
"218","Bandera",2010,"Percent",0.273,0.071
"219","Bandera",2011,"Number",902,676
"220","Bandera",2011,"Percent",0.244,0.068
"221","Bastrop",2001,"Number",2846,1190
"222","Bastrop",2001,"Percent",0.163,0.04
"223","Bastrop",2002,"Number",2896,1848
"224","Bastrop",2002,"Percent",0.159,0.058
"225","Bastrop",2003,"Number",3264,2066
"226","Bastrop",2003,"Percent",0.179,0.065
"227","Bastrop",2004,"Number",3341,1845
"228","Bastrop",2004,"Percent",0.184,0.056
"229","Bastrop",2005,"Number",3194,1572
"230","Bastrop",2005,"Percent",0.178,0.046
"231","Bastrop",2006,"Number",3275,1603
"232","Bastrop",2006,"Percent",0.183,0.046
"233","Bastrop",2007,"Number",3322,1428
"234","Bastrop",2007,"Percent",0.18,0.041
"235","Bastrop",2008,"Number",3517,1686
"236","Bastrop",2008,"Percent",0.189,0.049
"237","Bastrop",2009,"Number",4159,2717
"238","Bastrop",2009,"Percent",0.218,0.078
"239","Bastrop",2010,"Number",4696,2948
"240","Bastrop",2010,"Percent",0.244,0.084
"241","Bastrop",2011,"Number",4345,2801
"242","Bastrop",2011,"Percent",0.226,0.078
"243","Baylor",2001,"Number",243,69
"244","Baylor",2001,"Percent",0.265,0.042
"245","Baylor",2002,"Number",222,87
"246","Baylor",2002,"Percent",0.243,0.053
"247","Baylor",2003,"Number",233,95
"248","Baylor",2003,"Percent",0.258,0.053
"249","Baylor",2004,"Number",231,109
"250","Baylor",2004,"Percent",0.265,0.053
"251","Baylor",2005,"Number",266,90
"252","Baylor",2005,"Percent",0.31,0.048
"253","Baylor",2006,"Number",250,82
"254","Baylor",2006,"Percent",0.296,0.043
"255","Baylor",2007,"Number",254,78
"256","Baylor",2007,"Percent",0.293,0.038
"257","Baylor",2008,"Number",216,79
"258","Baylor",2008,"Percent",0.267,0.038
"259","Baylor",2009,"Number",250,114
"260","Baylor",2009,"Percent",0.302,0.058
"261","Baylor",2010,"Number",243,124
"262","Baylor",2010,"Percent",0.319,0.066
"263","Baylor",2011,"Number",244,113
"264","Baylor",2011,"Percent",0.32,0.058
"265","Bee",2001,"Number",2253,524
"266","Bee",2001,"Percent",0.309,0.05
"267","Bee",2002,"Number",2056,605
"268","Bee",2002,"Percent",0.282,0.057
"269","Bee",2003,"Number",2062,747
"270","Bee",2003,"Percent",0.293,0.07
"271","Bee",2004,"Number",1999,904
"272","Bee",2004,"Percent",0.29,0.079
"273","Bee",2005,"Number",2345,793
"274","Bee",2005,"Percent",0.346,0.071
"275","Bee",2006,"Number",2309,746
"276","Bee",2006,"Percent",0.337,0.064
"277","Bee",2007,"Number",1940,684
"278","Bee",2007,"Percent",0.294,0.06
"279","Bee",2008,"Number",2104,712
"280","Bee",2008,"Percent",0.319,0.063
"281","Bee",2009,"Number",2170,1104
"282","Bee",2009,"Percent",0.322,0.093
"283","Bee",2010,"Number",2344,1126
"284","Bee",2010,"Percent",0.346,0.091
"285","Bee",2011,"Number",2478,1083
"286","Bee",2011,"Percent",0.363,0.086
"287","Bell",2001,"Number",13712,3987
"288","Bell",2001,"Percent",0.185,0.042
"289","Bell",2002,"Number",13949,5143
"290","Bell",2002,"Percent",0.182,0.052
"291","Bell",2003,"Number",16503,5663
"292","Bell",2003,"Percent",0.212,0.055
"293","Bell",2004,"Number",14061,6198
"294","Bell",2004,"Percent",0.175,0.056
"295","Bell",2005,"Number",15001,5907
"296","Bell",2005,"Percent",0.19,0.051
"297","Bell",2006,"Number",15314,5911
"298","Bell",2006,"Percent",0.194,0.051
"299","Bell",2007,"Number",16654,5193
"300","Bell",2007,"Percent",0.196,0.045
"301","Bell",2008,"Number",16980,6049
"302","Bell",2008,"Percent",0.192,0.049
"303","Bell",2009,"Number",17337,8479
"304","Bell",2009,"Percent",0.207,0.067
"305","Bell",2010,"Number",17646,9823
"306","Bell",2010,"Percent",0.202,0.075
"307","Bell",2011,"Number",20447,10982
"308","Bell",2011,"Percent",0.233,0.08
"309","Bexar",2001,"Number",95798,27967
"310","Bexar",2001,"Percent",0.235,0.041
"311","Bexar",2002,"Number",100377,37214
"312","Bexar",2002,"Percent",0.242,0.053
"313","Bexar",2003,"Number",105805,40791
"314","Bexar",2003,"Percent",0.253,0.057
"315","Bexar",2004,"Number",104297,41061
"316","Bexar",2004,"Percent",0.247,0.058
"317","Bexar",2005,"Number",100709,36141
"318","Bexar",2005,"Percent",0.242,0.05
"319","Bexar",2006,"Number",103155,34792
"320","Bexar",2006,"Percent",0.241,0.047
"321","Bexar",2007,"Number",102413,30575
"322","Bexar",2007,"Percent",0.231,0.042
"323","Bexar",2008,"Number",106430,35587
"324","Bexar",2008,"Percent",0.235,0.047
"325","Bexar",2009,"Number",114392,52047
"326","Bexar",2009,"Percent",0.251,0.068
"327","Bexar",2010,"Number",113149,58145
"328","Bexar",2010,"Percent",0.246,0.074
"329","Bexar",2011,"Number",119063,60889
"330","Bexar",2011,"Percent",0.256,0.076
"331","Blanco",2001,"Number",365,100
"332","Blanco",2001,"Percent",0.173,0.027
"333","Blanco",2002,"Number",287,154
"334","Blanco",2002,"Percent",0.135,0.039
"335","Blanco",2003,"Number",319,155
"336","Blanco",2003,"Percent",0.146,0.038
"337","Blanco",2004,"Number",316,205
"338","Blanco",2004,"Percent",0.15,0.043
"339","Blanco",2005,"Number",340,181
"340","Blanco",2005,"Percent",0.164,0.038
"341","Blanco",2006,"Number",386,186
"342","Blanco",2006,"Percent",0.179,0.04
"343","Blanco",2007,"Number",368,165
