"","Location","TimeFrame","DataFormat","Child","Unemployment"
"128","Armstrong",2003,"Percent",0.131,0.031
"129","Armstrong",2004,"Number",69,46
"130","Armstrong",2004,"Percent",0.142,0.042
"131","Armstrong",2005,"Number",80,44
"132","Armstrong",2005,"Percent",0.168,0.039
"133","Armstrong",2006,"Number",77,41
"134","Armstrong",2006,"Percent",0.169,0.036
"135","Armstrong",2007,"Number",67,38
"136","Armstrong",2007,"Percent",0.152,0.034
"137","Armstrong",2008,"Number",67,39
"138","Armstrong",2008,"Percent",0.148,0.036
"139","Armstrong",2009,"Number",70,53
"140","Armstrong",2009,"Percent",0.142,0.048
"141","Armstrong",2010,"Number",49,50
"142","Armstrong",2010,"Percent",0.116,0.047
"143","Armstrong",2011,"Number",67,49
"144","Armstrong",2011,"Percent",0.159,0.049
"145","Atascosa",2000,"Number",3365,703
"146","Atascosa",2000,"Percent",0.272,0.039
"147","Atascosa",2001,"Number",3352,774
"148","Atascosa",2001,"Percent",0.265,0.042
"149","Atascosa",2002,"Number",3323,1045
"150","Atascosa",2002,"Percent",0.261,0.057
"151","Atascosa",2003,"Number",3503,1231
"152","Atascosa",2003,"Percent",0.279,0.066
"153","Atascosa",2004,"Number",3385,1073
"154","Atascosa",2004,"Percent",0.27,0.057
"155","Atascosa",2005,"Number",3553,957
"156","Atascosa",2005,"Percent",0.288,0.05
"157","Atascosa",2006,"Number",3714,917
"158","Atascosa",2006,"Percent",0.302,0.047
"159","Atascosa",2007,"Number",3144,798
"160","Atascosa",2007,"Percent",0.256,0.041
"161","Atascosa",2008,"Number",3381,903
"162","Atascosa",2008,"Percent",0.278,0.047
"163","Atascosa",2009,"Number",3691,1447
"164","Atascosa",2009,"Percent",0.288,0.074
"165","Atascosa",2010,"Number",3893,1570
"166","Atascosa",2010,"Percent",0.305,0.079
"167","Atascosa",2011,"Number",4144,1567
"168","Atascosa",2011,"Percent",0.322,0.079
"169","Austin",2000,"Number",1010,433
"170","Austin",2000,"Percent",0.157,0.033
"171","Austin",2001,"Number",1019,376
"172","Austin",2001,"Percent",0.158,0.028
"173","Austin",2002,"Number",863,548
"174","Austin",2002,"Percent",0.133,0.037
"175","Austin",2003,"Number",996,692
"176","Austin",2003,"Percent",0.15,0.048
"177","Austin",2004,"Number",1002,687
"178","Austin",2004,"Percent",0.154,0.054
"179","Austin",2005,"Number",1047,581
"180","Austin",2005,"Percent",0.163,0.045
"181","Austin",2006,"Number",1026,566
"182","Austin",2006,"Percent",0.16,0.042
"183","Austin",2007,"Number",982,493
"184","Austin",2007,"Percent",0.15,0.038
"185","Austin",2008,"Number",976,561
"186","Austin",2008,"Percent",0.149,0.043
"187","Austin",2009,"Number",1116,985
"188","Austin",2009,"Percent",0.162,0.074
"189","Austin",2010,"Number",1281,1073
"190","Austin",2010,"Percent",0.183,0.08
"191","Austin",2011,"Number",1415,1170
"192","Austin",2011,"Percent",0.202,0.082
"193","Bailey",2000,"Number",556,179
"194","Bailey",2000,"Percent",0.278,0.05
"195","Bailey",2001,"Number",569,175
"196","Bailey",2001,"Percent",0.285,0.051
"197","Bailey",2002,"Number",541,185
"198","Bailey",2002,"Percent",0.263,0.054
"199","Bailey",2003,"Number",546,211
"200","Bailey",2003,"Percent",0.273,0.055
"201","Bailey",2004,"Number",519,201
"202","Bailey",2004,"Percent",0.257,0.056
"203","Bailey",2005,"Number",590,181
"204","Bailey",2005,"Percent",0.296,0.055
"205","Bailey",2006,"Number",608,165
"206","Bailey",2006,"Percent",0.304,0.052
"207","Bailey",2007,"Number",582,147
"208","Bailey",2007,"Percent",0.304,0.045
"209","Bailey",2008,"Number",516,142
"210","Bailey",2008,"Percent",0.273,0.042
"211","Bailey",2009,"Number",561,190
"212","Bailey",2009,"Percent",0.28,0.056
"213","Bailey",2010,"Number",656,236
"214","Bailey",2010,"Percent",0.302,0.071
"215","Bailey",2011,"Number",632,243
"216","Bailey",2011,"Percent",0.283,0.073
"217","Bandera",2000,"Number",872,184
"218","Bandera",2000,"Percent",0.199,0.025
"219","Bandera",2001,"Number",867,196
"220","Bandera",2001,"Percent",0.195,0.027
"221","Bandera",2002,"Number",874,287
"222","Bandera",2002,"Percent",0.194,0.035
"223","Bandera",2003,"Number",893,306
"224","Bandera",2003,"Percent",0.2,0.039
"225","Bandera",2004,"Number",830,470
"226","Bandera",2004,"Percent",0.191,0.049
"227","Bandera",2005,"Number",862,407
"228","Bandera",2005,"Percent",0.203,0.042
"229","Bandera",2006,"Number",919,427
"230","Bandera",2006,"Percent",0.218,0.042
"231","Bandera",2007,"Number",956,377
"232","Bandera",2007,"Percent",0.225,0.038
"233","Bandera",2008,"Number",942,433
"234","Bandera",2008,"Percent",0.226,0.044
"235","Bandera",2009,"Number",919,644
"236","Bandera",2009,"Percent",0.23,0.065
"237","Bandera",2010,"Number",1051,710
"238","Bandera",2010,"Percent",0.273,0.071
"239","Bandera",2011,"Number",902,676
"240","Bandera",2011,"Percent",0.244,0.068
"241","Bastrop",2000,"Number",2800,658
"242","Bastrop",2000,"Percent",0.166,0.022
"243","Bastrop",2001,"Number",2846,1190
"244","Bastrop",2001,"Percent",0.163,0.04
"245","Bastrop",2002,"Number",2896,1848
"246","Bastrop",2002,"Percent",0.159,0.058
"247","Bastrop",2003,"Number",3264,2066
"248","Bastrop",2003,"Percent",0.179,0.065
"249","Bastrop",2004,"Number",3341,1845
"250","Bastrop",2004,"Percent",0.184,0.056
"251","Bastrop",2005,"Number",3194,1572
"252","Bastrop",2005,"Percent",0.178,0.046
"253","Bastrop",2006,"Number",3275,1603
"254","Bastrop",2006,"Percent",0.183,0.046
"255","Bastrop",2007,"Number",3322,1428
"256","Bastrop",2007,"Percent",0.18,0.041
"257","Bastrop",2008,"Number",3517,1686
"258","Bastrop",2008,"Percent",0.189,0.049
"259","Bastrop",2009,"Number",4159,2717
"260","Bastrop",2009,"Percent",0.218,0.078
"261","Bastrop",2010,"Number",4696,2948
"262","Bastrop",2010,"Percent",0.244,0.084
"263","Bastrop",2011,"Number",4345,2801
"264","Bastrop",2011,"Percent",0.226,0.078
"265","Baylor",2000,"Number",241,68
"266","Baylor",2000,"Percent",0.259,0.042
"267","Baylor",2001,"Number",243,69
"268","Baylor",2001,"Percent",0.265,0.042
"269","Baylor",2002,"Number",222,87
