Location,TimeFrame,DataFormat,Data
Glasscock,2011,Number,1242
Goliad,2011,Number,7300
Gonzales,2011,Number,20157
Gray,2011,Number,22760
Grayson,2011,Number,121800
Gregg,2011,Number,123239
Grimes,2011,Number,27062
Guadalupe,2011,Number,136116
Hale,2011,Number,36664
Hall,2011,Number,3408
Hamilton,2011,Number,8585
Hansford,2011,Number,5623
Hardeman,2011,Number,4101
Hardin,2011,Number,55492
Harris,2011,Number,4176764
Harrison,2011,Number,66527
Hartley,2011,Number,6075
Haskell,2011,Number,5919
Hays,2011,Number,163839
Hemphill,2011,Number,3865
Henderson,2011,Number,79194
Hidalgo,2011,Number,798286
Hill,2011,Number,35640
Hockley,2011,Number,23018
Hopkins,2000,Number,31960
Houston,2000,Number,23185
Howard,2000,Number,33627
Hudspeth,2000,Number,3344
Hunt,2000,Number,76596
Hutchinson,2000,Number,23857
Irion,2000,Number,1771
Jack,2000,Number,8763
Jackson,2000,Number,14391
Jasper,2000,Number,35604
Jeff Davis,2000,Number,2207
Jefferson,2000,Number,252051
Jim Hogg,2000,Number,5281
Jim Wells,2000,Number,39326
Johnson,2000,Number,126811
Jones,2000,Number,20785
Karnes,2000,Number,15446
Kaufman,2000,Number,71313
Kendall,2000,Number,23743
Kenedy,2000,Number,414
Kent,2000,Number,859
Kerr,2000,Number,43653
Kimble,2000,Number,4468
King,2000,Number,356
Kinney,2000,Number,3379
Kleberg,2000,Number,31549
Knox,2000,Number,4253
Lamar,2000,Number,48499
Lamb,2000,Number,14709
Lampasas,2000,Number,17762
La Salle,2000,Number,5866
Lavaca,2000,Number,19210
Lee,2000,Number,15657
Leon,2000,Number,15335
Liberty,2000,Number,70154
Limestone,2000,Number,22051
Lipscomb,2000,Number,3057
Live Oak,2000,Number,12309
Llano,2000,Number,17044
Loving,2000,Number,67
Lubbock,2000,Number,242628
Lynn,2000,Number,6550
McCulloch,2000,Number,8205
McLennan,2000,Number,213517
McMullen,2000,Number,851
Madison,2000,Number,12940
Marion,2000,Number,10941
Martin,2000,Number,4746
Mason,2000,Number,3738
Matagorda,2000,Number,37957
Maverick,2000,Number,47297
Medina,2000,Number,39304
Menard,2000,Number,2360
Midland,2000,Number,116009
Milam,2000,Number,24238
Mills,2000,Number,5151
Mitchell,2000,Number,9698
Montague,2000,Number,19117
Montgomery,2000,Number,293768
Moore,2000,Number,20121
Morris,2000,Number,13048
Motley,2000,Number,1426
Nacogdoches,2000,Number,59203
Navarro,2000,Number,45124
Newton,2000,Number,15072
Nolan,2000,Number,15802
Nueces,2000,Number,313645
Ochiltree,2000,Number,9006
Oldham,2000,Number,2185
Orange,2000,Number,84966
Palo Pinto,2000,Number,27026
Panola,2000,Number,22756
Parker,2000,Number,88495
Parmer,2000,Number,10016
Pecos,2000,Number,16809
Polk,2000,Number,41133
Potter,2000,Number,113546
Presidio,2000,Number,7304
Rains,2000,Number,9139
Randall,2000,Number,104312
Reagan,2000,Number,3326
Real,2000,Number,3047
Red River,2000,Number,14314
Reeves,2000,Number,13137
Refugio,2000,Number,7828
Roberts,2000,Number,887
Robertson,2000,Number,16000
Rockwall,2000,Number,43080
Runnels,2000,Number,11495
Rusk,2000,Number,47372
Sabine,2000,Number,10469
San Augustine,2000,Number,8946
San Jacinto,2000,Number,22246
San Patricio,2000,Number,67138
San Saba,2000,Number,6186
Schleicher,2000,Number,2935
Scurry,2000,Number,16361
Shackelford,2000,Number,3302
Shelby,2000,Number,25224
Sherman,2000,Number,3186
Smith,2000,Number,174706
Somervell,2000,Number,6809
Starr,2000,Number,53597
Stephens,2000,Number,9674
Sterling,2000,Number,1393
Stonewall,2000,Number,1693
Sutton,2000,Number,4077
Swisher,2000,Number,8378
Tarrant,2000,Number,1446219
Taylor,2000,Number,126555
Terrell,2000,Number,1081
Terry,2000,Number,12761
Throckmorton,2000,Number,1850
Titus,2000,Number,28118
Tom Green,2000,Number,104010
Travis,2000,Number,812280
Trinity,2000,Number,13779
Tyler,2000,Number,20871
Upshur,2000,Number,35291
Upton,2000,Number,3404
Uvalde,2000,Number,25926
