Location,TimeFrame,DataFormat,Data
Aransas,2006,Percent,0.048
Aransas,2007,Number,464
Aransas,2007,Percent,0.042
Aransas,2008,Number,511
Aransas,2008,Percent,0.045
Aransas,2009,Percent,0.069
Aransas,2009,Number,802
Aransas,2010,Percent,0.081
Aransas,2011,Percent,0.08
Aransas,2011,Number,881
Aransas,2012,Percent,0.061
Aransas,2012,Number,666
Aransas,2010,Number,955
Archer,2010,Number,302
Archer,2012,Number,240
Archer,2012,Percent,0.049
Archer,2011,Number,295
Archer,2011,Percent,0.059
Archer,2010,Percent,0.06
Archer,2009,Number,308
Archer,2009,Percent,0.06
Archer,2008,Percent,0.038
Archer,2008,Number,191
Archer,2007,Percent,0.032
Archer,2007,Number,170
Archer,2006,Percent,0.035
Archer,2006,Number,187
Archer,2005,Percent,0.033
Archer,2005,Number,179
Archer,2004,Percent,0.037
Archer,2004,Number,195
Archer,2003,Number,140
Archer,2003,Percent,0.032
Archer,2002,Percent,0.03
Archer,2002,Number,132
Archer,2001,Number,96
Archer,2001,Percent,0.024
Archer,2000,Number,103
Archer,2000,Percent,0.026
Archer,1999,Percent,0.032
Archer,1999,Number,130
Archer,1998,Percent,0.034
Archer,1998,Number,142
Archer,1997,Number,108
Archer,1997,Percent,0.026
Archer,1996,Percent,0.029
Archer,1996,Number,120
Archer,1995,Number,116
Archer,1995,Percent,0.029
Archer,1994,Number,161
Archer,1994,Percent,0.04
Archer,1993,Percent,0.035
Archer,1993,Number,136
Archer,1992,Percent,0.039
Archer,1992,Number,145
Archer,1991,Percent,0.038
Archer,1991,Number,143
Archer,1990,Percent,0.038
Archer,1990,Number,145
Armstrong,1990,Number,47
Armstrong,1990,Percent,0.047
Armstrong,1991,Number,34
Armstrong,1991,Percent,0.032
Armstrong,1992,Number,43
Armstrong,1992,Percent,0.04
Armstrong,1993,Number,40
Armstrong,1993,Percent,0.04
Armstrong,1994,Percent,0.038
Armstrong,1994,Number,36
Armstrong,1995,Percent,0.033
Armstrong,1995,Number,32
Armstrong,1996,Number,28
Armstrong,1996,Percent,0.028
Armstrong,1997,Percent,0.039
Armstrong,1997,Number,36
Armstrong,1998,Number,20
Armstrong,1998,Percent,0.02
Armstrong,1999,Number,17
Armstrong,1999,Percent,0.017
Armstrong,2000,Percent,0.017
Armstrong,2000,Number,19
Armstrong,2001,Percent,0.013
Armstrong,2001,Number,15
Armstrong,2002,Number,35
Armstrong,2002,Percent,0.031
Armstrong,2003,Percent,0.031
Armstrong,2003,Number,33
Armstrong,2004,Number,46
Armstrong,2004,Percent,0.042
Armstrong,2005,Number,44
Armstrong,2005,Percent,0.039
Armstrong,2006,Number,41
Armstrong,2006,Percent,0.036
Armstrong,2007,Number,38
Armstrong,2007,Percent,0.034
Armstrong,2008,Number,39
Armstrong,2008,Percent,0.036
Armstrong,2009,Percent,0.048
Armstrong,2009,Number,53
Armstrong,2010,Percent,0.047
Armstrong,2011,Percent,0.049
Armstrong,2011,Number,49
Armstrong,2012,Percent,0.048
Armstrong,2012,Number,47
Armstrong,2010,Number,50
Atascosa,2010,Number,1570
Atascosa,2012,Number,1310
Atascosa,2012,Percent,0.066
Atascosa,2011,Number,1567
Atascosa,2011,Percent,0.079
Atascosa,2010,Percent,0.079
Atascosa,2009,Number,1447
Atascosa,2009,Percent,0.074
Atascosa,2008,Percent,0.047
Atascosa,2008,Number,903
Atascosa,2007,Percent,0.041
Atascosa,2007,Number,798
Atascosa,2006,Percent,0.047
Atascosa,2006,Number,917
Atascosa,2005,Percent,0.05
Atascosa,2005,Number,957
Atascosa,2004,Percent,0.057
Atascosa,2004,Number,1073
Atascosa,2003,Number,1231
Atascosa,2003,Percent,0.066
Atascosa,2002,Percent,0.057
Atascosa,2002,Number,1045
Atascosa,2001,Number,774
Atascosa,2001,Percent,0.042
Atascosa,2000,Number,703
Atascosa,2000,Percent,0.039
Atascosa,1999,Percent,0.041
Atascosa,1999,Number,738
Atascosa,1998,Percent,0.047
Atascosa,1998,Number,783
Atascosa,1997,Number,770
Atascosa,1997,Percent,0.048
Atascosa,1996,Percent,0.046
Atascosa,1996,Number,704
Atascosa,1995,Number,766
Atascosa,1995,Percent,0.049
Atascosa,1994,Number,719
Atascosa,1994,Percent,0.047
Atascosa,1993,Percent,0.062
Atascosa,1993,Number,930
Atascosa,1992,Percent,0.084
Atascosa,1992,Number,1201
Atascosa,1991,Percent,0.07
Atascosa,1991,Number,957
Atascosa,1990,Percent,0.069
Atascosa,1990,Number,878
Austin,1990,Number,336
Austin,1990,Percent,0.037
Austin,1991,Number,328
Austin,1991,Percent,0.034
Austin,1992,Number,412
Austin,1992,Percent,0.043
Austin,1993,Number,408
Austin,1993,Percent,0.04
Austin,1994,Percent,0.04
Austin,1994,Number,432
Austin,1995,Percent,0.036
Austin,1995,Number,412
Austin,1996,Number,406
Austin,1996,Percent,0.036
Austin,1997,Percent,0.04
Austin,1997,Number,463
Austin,1998,Number,403
Austin,1998,Percent,0.032
Austin,1999,Number,512
Austin,1999,Percent,0.038
Austin,2000,Percent,0.033
Austin,2000,Number,433
Austin,2001,Percent,0.028
Austin,2001,Number,376
Austin,2002,Number,548
Austin,2002,Percent,0.037
Austin,2003,Percent,0.048
Austin,2003,Number,692
Austin,2004,Number,687
Austin,2004,Percent,0.054
Austin,2005,Number,581
Austin,2005,Percent,0.045
Austin,2006,Number,566
Austin,2006,Percent,0.042
Austin,2007,Number,493
Austin,2007,Percent,0.038
Austin,2008,Number,561
Austin,2008,Percent,0.043
Austin,2009,Percent,0.074
Austin,2009,Number,985
Austin,2010,Percent,0.08
Austin,2011,Percent,0.082
Austin,2011,Number,1170
Austin,2012,Percent,0.06
Austin,2012,Number,854
Austin,2010,Number,1073
Bailey,2010,Number,236
Bailey,2012,Number,215
Bailey,2012,Percent,0.066
Bailey,2011,Number,243
Bailey,2011,Percent,0.073
Bailey,2010,Percent,0.071
Bailey,2009,Number,190
Bailey,2009,Percent,0.056
Bailey,2008,Percent,0.042
Bailey,2008,Number,142
Bailey,2007,Percent,0.045
Bailey,2007,Number,147
Bailey,2006,Percent,0.052
Bailey,2006,Number,165
Bailey,2005,Percent,0.055
Bailey,2005,Number,181
Bailey,2004,Percent,0.056
Bailey,2004,Number,201
Bailey,2003,Number,211
Bailey,2003,Percent,0.055
Bailey,2002,Percent,0.054
Bailey,2002,Number,185
Bailey,2001,Number,175
Bailey,2001,Percent,0.051
Bailey,2000,Number,179
Bailey,2000,Percent,0.05
Bailey,1999,Percent,0.05
Bailey,1999,Number,175
Bailey,1998,Percent,0.062
Bailey,1998,Number,220
Bailey,1997,Number,238
Bailey,1997,Percent,0.068
Bailey,1996,Percent,0.054
Bailey,1996,Number,200
Bailey,1995,Number,227
Bailey,1995,Percent,0.06
Bailey,1994,Number,184
Bailey,1994,Percent,0.05
Bailey,1993,Percent,0.065
Bailey,1993,Number,254
Bailey,1992,Percent,0.065
Bailey,1992,Number,248
Bailey,1991,Percent,0.046
Bailey,1991,Number,176
Bailey,1990,Percent,0.028
Bailey,1990,Number,102
Bandera,1990,Number,92
Bandera,1990,Percent,0.017
Bandera,1991,Number,128
Bandera,1991,Percent,0.021
Bandera,1992,Number,209
Bandera,1992,Percent,0.033
Bandera,1993,Number,201
Bandera,1993,Percent,0.031
Bandera,1994,Percent,0.03
Bandera,1994,Number,194
Bandera,1995,Percent,0.035
Bandera,1995,Number,234
Bandera,1996,Number,226
Bandera,1996,Percent,0.035
Bandera,1997,Percent,0.039
Bandera,1997,Number,243
Bandera,1998,Number,220
Bandera,1998,Percent,0.033
Bandera,1999,Number,184
Bandera,1999,Percent,0.027
Bandera,2000,Percent,0.025
Bandera,2000,Number,184
Bandera,2001,Percent,0.027
Bandera,2001,Number,196
Bandera,2002,Number,287
Bandera,2002,Percent,0.035
Bandera,2003,Percent,0.039
Bandera,2003,Number,306
Bandera,2004,Number,470
Bandera,2004,Percent,0.049
Bandera,2005,Number,407
Bandera,2005,Percent,0.042
Bandera,2006,Number,427
Bandera,2006,Percent,0.042
Bandera,2007,Number,377
Bandera,2007,Percent,0.038
Bandera,2008,Number,433
Bandera,2008,Percent,0.044
Bandera,2009,Percent,0.065
Bandera,2009,Number,644
Bandera,2010,Percent,0.071
Bandera,2011,Percent,0.068
Bandera,2011,Number,676
Bandera,2012,Percent,0.06
Bandera,2012,Number,584
Bandera,2010,Number,710
Bastrop,2010,Number,2948
Bastrop,2012,Number,2266
Bastrop,2012,Percent,0.064
Bastrop,2011,Number,2801
Bastrop,2011,Percent,0.078
Bastrop,2010,Percent,0.084
Bastrop,2009,Number,2717
Bastrop,2009,Percent,0.078
Bastrop,2008,Percent,0.049
Bastrop,2008,Number,1686
Bastrop,2007,Percent,0.041
Bastrop,2007,Number,1428
Bastrop,2006,Percent,0.046
Bastrop,2006,Number,1603
Bastrop,2005,Percent,0.046
Bastrop,2005,Number,1572
Bastrop,2004,Percent,0.056
Bastrop,2004,Number,1845
Bastrop,2003,Number,2066
Bastrop,2003,Percent,0.065
Bastrop,2002,Percent,0.058
Bastrop,2002,Number,1848
Bastrop,2001,Number,1190
Bastrop,2001,Percent,0.04
Bastrop,2000,Number,658
Bastrop,2000,Percent,0.022
Bastrop,1999,Percent,0.025
Bastrop,1999,Number,705
Bastrop,1998,Percent,0.03
Bastrop,1998,Number,816
Bastrop,1997,Number,1077
Bastrop,1997,Percent,0.042
